objectid,evidencnecislovrtupomocne,evidencnecislovrtu,povodneevidencnecislo,mapa,povodie,hydrorajon,lokalita,prevadzajucaorganizacia,suradnicax,suradnicay,suradnicazteren,suradnicazpazenie,hlbkavrtu,typvrtu,typvrtupopis,archivnecislospravy,archivnecisloretazec,utajeniespravydo,spracovaldatum,poznamka,pdf
3704,M-33-132-B-a/143,143,HP-7,M-33-132-B-a,Váh,48 Q,Piešťany,,1234272.28,516186.55,162.68,163.45,11,0,,71746,,,667699200000,,132Ba143.pdf
3705,M-33-132-B-a/144,144,HP-8,M-33-132-B-a,Váh,48 Q,Piešťany,,1234293.14,516192.38,162.56,163.28,11,0,,71746,,,667699200000,,132Ba144.pdf
3706,M-33-132-B-a/145,145,HP-9,M-33-132-B-a,Váh,48 Q,Piešťany,,1234967.88,516415.83,161.5,162.43,11,0,,71746,,,667785600000,,132Ba145.pdf
3707,M-33-132-B-a/146,146,HP-10,M-33-132-B-a,Váh,48 Q,Piešťany,,1235076.71,516471.99,161.22,161.76,11,0,,71746,,,667785600000,,132Ba146.pdf
3708,M-33-132-B-a/147,147,HP-11,M-33-132-B-a,Váh,48 Q,Piešťany,,1235111.85,516492.93,161.31,161.81,11,0,,71746,,,667785600000,,132Ba147.pdf
3710,M-33-132-B-a/149,149,PL-1,M-33-132-B-a,Váh,48 Q,Piešťany,,1234270.4,515467.8,162.48,162.85,11,4,monitorovací vrt,74015,,,695347200000,,132Ba149.pdf
3711,M-33-132-B-a/150,150,PL-3,M-33-132-B-a,Váh,48 Q,Piešťany,,1234188.75,515329.25,162.61,163.08,11,4,monitorovací vrt,74015,,,695520000000,,132Ba150.pdf
3712,M-33-132-B-a/151,151,PL-4,M-33-132-B-a,Váh,48 Q,Piešťany,,1234170.94,515287.85,162.98,163.42,11,4,monitorovací vrt,74015,,,695520000000,,132Ba151.pdf
3713,M-33-132-B-a/152,152,PL-13,M-33-132-B-a,Váh,48 Q,Piešťany,,1234197.41,515111.25,160.71,161.14,17,4,monitorovací vrt,74015,,,695520000000,,132Ba152.pdf
3714,M-33-132-B-a/153,153,PL-14,M-33-132-B-a,Váh,48 Q,Piešťany,,1234079.16,515295.32,162.88,163.44,11,4,monitorovací vrt,74015,,,695606400000,,132Ba153.pdf
3715,M-33-132-B-a/154,154,PL-15,M-33-132-B-a,Váh,48 Q,Piešťany,,1234308.2,515143.76,162.51,163.27,11,4,monitorovací vrt,74015,,,695606400000,,132Ba154.pdf
3716,M-33-132-B-a/155,155,PL-16,M-33-132-B-a,Váh,48 Q,Piešťany,,1234385.37,515162.57,162.77,163.15,11,4,monitorovací vrt,74015,,,695606400000,,132Ba155.pdf
3718,M-33-132-B-a/157,157,HD-4a,M-33-132-B-a,Váh,47 MG,Hubina - Ducové,,1233759,512484.69,167,,80,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,74928,,,695606400000,,132Ba157.pdf
3726,M-33-132-B-a/165,165,HP-8,M-33-132-B-a,Váh,48 Q,orvište,13 88 3150 74 450 1152 1,1234439,516783.81,162.5,,16.5,4,monitorovací vrt,76902,,,702086400000,,132Ba165.pdf
3730,M-33-132-B-a/170,170,HP-13,M-33-132-B-a,Váh,48 Q,Orvište,13 88 3150 74 450 1152 1,1234873,516480,160.6,,18,4,monitorovací vrt,76902,,,702086400000,,132Ba170.pdf
3731,M-33-132-B-a/171,171,HP-14,M-33-132-B-a,Váh,48 Q,Orvište,13 88 3150 74 450 1152 1,1235206,516808.31,161,,18,4,monitorovací vrt,76902,,,702086400000,,132Ba171.pdf
3739,M-33-132-B-a/179,179,HVP-2,M-33-132-B-a,Váh,48 Q,Piešťany,,1235599,514917.09,160,,10,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,81227,,,898041600000,,132Ba179.pdf
